position	x	n	folded
131435789	46	120	1
131436137	46	120	1
131437201	20	120	1
131437535	24	120	1
131438055	10	120	1
131438800	8	120	1
131438945	43	120	1
131439575	43	120	1
131442289	19	120	1
131442641	2	120	1
131442900	23	120	1
131443494	22	120	1
131443983	43	120	1
131444203	23	120	1
131444951	13	120	1
131445202	20	120	1
131446220	26	120	1
131446327	23	120	1
131446891	20	120	1
131446903	21	120	1
131447484	43	120	1
131447599	18	120	1
131449707	20	120	1
131452507	43	120	1
131453152	21	120	1
131453340	44	120	1
131453791	21	120	1
131454522	2	120	1
131457831	21	120	1
131457987	21	120	1
131458230	21	120	1
131458738	21	120	1
131459282	23	120	1
131459696	21	120	1
131460063	18	120	1
131460165	3	120	1
131460263	21	120	1
131460320	21	120	1
131460348	23	120	1
131460464	21	120	1
131460550	44	120	1
131460757	3	120	1
131461097	21	120	1
131461520	21	120	1
131461621	21	120	1
131462898	23	120	1
131463510	44	120	1
131463599	44	120	1
131463811	20	120	1
131464011	44	120	1
131464067	20	120	1
131465688	20	120	1
131467023	45	120	1
131467215	35	120	1
131467888	44	120	1
131468142	34	120	1
131468386	34	120	1
131468667	8	120	1
131469528	34	120	1
131469597	34	120	1
131470078	44	120	1
131471163	42	120	1
131471280	33	120	1
131471327	34	120	1
131471605	2	120	1
131471631	34	120	1
131472525	44	120	1
131473103	34	120	1
131473128	10	120	1
131473362	34	120	1
131473908	44	120	1
131474200	10	120	1
131474616	10	120	1
131474813	16	120	1
131474992	11	120	1
131476441	10	120	1
131477777	12	120	1
131478775	10	120	1
131479302	10	120	1
131479555	10	120	1
131479694	10	120	1
131480042	12	120	1
131480942	10	120	1
131480981	10	120	1
131480982	3	120	1
131481449	10	120	1
131481624	10	120	1
131481682	10	120	1
131484382	25	120	1
131484845	14	120	1
131485219	23	120	1
131485767	13	120	1
131486365	25	120	1
131487614	15	120	1
131487758	25	120	1
131487929	41	120	1
131489384	25	120	1
131489420	13	120	1
131489851	25	120	1
131490211	25	120	1
131490448	25	120	1
131492027	25	120	1
131492750	19	120	1
131493507	13	120	1
131494549	12	120	1
131494769	13	120	1
131494902	19	120	1
131495868	3	120	1
131499072	25	120	1
131499305	11	120	1
131499329	25	120	1
131499460	15	120	1
131499485	25	120	1
131500790	12	120	1
131501048	11	120	1
131502016	21	120	1
131502058	13	120	1
131502061	40	120	1
131502533	13	120	1
131502606	9	120	1
131502911	11	120	1
131503676	46	120	1
131503935	14	120	1
131504635	16	120	1
131505128	7	120	1
131505738	18	120	1
131506297	16	120	1
131506872	19	120	1
131506960	15	120	1
131507255	9	120	1
131507261	9	120	1
131507266	5	120	1
131509247	39	120	1
131509255	15	120	1
131509429	15	120	1
131509606	15	120	1
131509964	15	120	1
131510777	23	120	1
131511407	15	120	1
131512205	22	120	1
131512970	2	120	1
131513142	19	120	1
131513624	42	120	1
131513777	15	120	1
131513806	15	120	1
131514345	26	120	1
131514493	15	120	1
131515458	16	120	1
131516126	16	120	1
131516620	15	120	1
131517819	5	120	1
131518109	41	120	1
131518754	15	120	1
131518811	14	120	1
131518895	15	120	1
131519861	15	120	1
131520093	27	120	1
131521750	26	120	1
131523929	26	120	1
131524199	27	120	1
131524547	4	120	1
131525205	26	120	1
131527318	19	120	1
131530897	26	120	1
131532164	14	120	1
131532176	2	120	1
131534427	10	120	1
131534431	12	120	1
131534434	19	120	1
131534731	26	120	1
131534855	12	120	1
131536057	27	120	1
131536341	26	120	1
131536494	26	120	1
131536975	27	120	1
131537843	3	120	1
131539839	3	120	1
131541787	31	120	1
131541871	31	120	1
131542870	33	120	1
131543410	33	120	1
131543730	8	120	1
131544264	6	120	1
131544550	33	120	1
131544728	8	120	1
131545609	8	120	1
131545804	33	120	1
131546980	41	120	1
131547038	8	120	1
131547433	7	120	1
131547497	33	120	1
131549217	4	120	1
131549247	15	120	1
131553985	3	120	1
131555812	26	120	1
131556667	13	120	1
131561976	4	120	1
131563329	16	120	1
131563785	22	120	1
131564013	54	120	1
131565264	2	120	1
131565809	41	120	1
131565974	20	120	1
131566412	3	120	1
131567629	40	120	1
131567893	5	120	1
131568125	5	120	1
131569556	54	120	1
131569673	5	120	1
131569783	5	120	1
131570079	59	120	1
131570190	19	120	1
131570296	45	120	1
131570532	18	120	1
131571766	16	120	1
131571961	16	120	1
131572106	16	120	1
131573141	2	120	1
131575054	3	120	1
131575464	17	120	1
131575875	17	120	1
131577014	3	120	1
131577721	48	120	1
131579259	51	120	1
131579312	48	120	1
131579443	51	120	1
131579571	48	120	1
131579754	49	120	1
131580525	50	120	1
131581039	50	120	1
131581794	52	120	1
131583039	50	120	1
131583886	51	120	1
131584034	51	120	1
131584138	50	120	1
131584361	6	120	1
131584471	51	120	1
131584687	18	120	1
131585779	50	120	1
131586229	50	120	1
131586399	50	120	1
131586413	49	120	1
131586752	43	120	1
131586896	50	120	1
131586996	50	120	1
131587413	50	120	1
131587913	29	120	1
131588665	17	120	1
131588870	48	120	1
131589084	48	120	1
131589467	48	120	1
131589599	48	120	1
131589900	10	120	1
131590753	39	120	1
131591359	39	120	1
131591564	19	120	1
131592017	39	120	1
131592358	19	120	1
131592639	48	120	1
131592683	9	120	1
131593240	39	120	1
131594145	39	120	1
131594376	39	120	1
131594987	24	120	1
131595638	10	120	1
131595650	2	120	1
131596246	6	120	1
131596325	39	120	1
131596772	47	120	1
131597598	39	120	1
131597636	47	120	1
131598042	39	120	1
131598758	25	120	1
131599374	24	120	1
131599386	20	120	1
131600904	6	120	1
131602354	39	120	1
131603199	34	120	1
131603626	8	120	1
131603637	47	120	1
131603962	4	120	1
131604199	21	120	1
131604317	42	120	1
131604815	34	120	1
131604832	20	120	1
131605657	18	120	1
131605722	10	120	1
131606584	10	120	1
131606598	48	120	1
131606718	5	120	1
131606960	56	120	1
131606987	12	120	1
131607181	17	120	1
131607679	17	120	1
131607806	17	120	1
131608040	21	120	1
131608373	23	120	1
131608548	15	120	1
131608552	12	120	1
131608887	12	120	1
131608977	47	120	1
131609066	13	120	1
131609770	37	120	1
131609985	20	120	1
131610141	30	120	1
131610570	12	120	1
131610571	3	120	1
131610690	24	120	1
131611121	20	120	1
131611224	12	120	1
131611358	17	120	1
131611483	44	120	1
131612012	12	120	1
131612310	17	120	1
131612847	12	120	1
131613033	12	120	1
131613077	28	120	1
131613263	9	120	1
131613478	12	120	1
131613492	12	120	1
131613666	12	120	1
131613678	17	120	1
131613874	12	120	1
131613909	9	120	1
131614337	12	120	1
131614347	3	120	1
131614547	20	120	1
131614762	17	120	1
131614892	12	120	1
131614992	17	120	1
131614994	17	120	1
131615199	17	120	1
131615321	17	120	1
131615360	17	120	1
131615364	17	120	1
131615366	17	120	1
131615541	29	120	1
131615833	17	120	1
131616310	17	120	1
131616492	12	120	1
131616559	12	120	1
131616690	17	120	1
131616765	17	120	1
131616816	17	120	1
131617143	10	120	1
131617144	10	120	1
131617182	17	120	1
131617253	29	120	1
131617403	12	120	1
131617530	47	120	1
131617774	53	120	1
131617938	11	120	1
131618146	53	120	1
131618265	53	120	1
131618334	9	120	1
131619205	16	120	1
131619221	17	120	1
131619539	47	120	1
131619842	9	120	1
131620161	24	120	1
131620556	40	120	1
131620561	42	120	1
131620807	20	120	1
131621432	31	120	1
131622574	27	120	1
131623326	5	120	1
131623996	28	120	1
131624117	10	120	1
131624142	27	120	1
131624505	29	120	1
131625274	33	120	1
131625533	27	120	1
131625685	18	120	1
131625805	15	120	1
131625916	29	120	1
131626289	16	120	1
131626429	27	120	1
131626888	2	120	1
131627210	6	120	1
131627215	37	120	1
131627366	27	120	1
131627492	17	120	1
131627865	29	120	1
131628135	34	120	1
131628231	27	120	1
131628408	59	120	1
131628604	36	120	1
131629010	10	120	1
131629132	50	120	1
131629421	10	120	1
131629653	59	120	1
131630022	52	120	1
131630078	33	120	1
131630086	8	120	1
131630099	59	120	1
131630109	7	120	1
131630363	8	120	1
131630503	50	120	1
131631031	46	120	1
131631200	43	120	1
131631604	43	120	1
131631755	10	120	1
131632023	40	120	1
131632473	46	120	1
131632535	59	120	1
131632790	2	120	1
131633695	5	120	1
131633864	40	120	1
131633953	53	120	1
131634020	15	120	1
131634167	15	120	1
131634188	60	120	1
131634523	15	120	1
131634657	58	120	1
131635374	11	120	1
131637554	58	120	1
131637664	47	120	1
131637972	44	120	1
131638400	3	120	1
131638587	5	120	1
131639439	43	120	1
131639815	7	120	1
131639939	43	120	1
131640041	4	120	1
131640217	15	120	1
131641033	15	120	1
131642378	11	120	1
131642624	17	120	1
131642686	43	120	1
131642907	57	120	1
131643127	17	120	1
131643151	7	120	1
131643559	46	120	1
131644335	5	120	1
131644652	5	120	1
131644680	2	120	1
131645085	17	120	1
131647134	40	120	1
131649125	21	120	1
131649131	9	120	1
131649138	18	120	1
131650700	7	120	1
131651657	17	120	1
131652871	6	120	1
131652907	15	120	1
131653317	17	120	1
131653321	15	120	1
131653431	42	120	1
131653462	42	120	1
131653757	43	120	1
131655432	43	120	1
131655444	17	120	1
131655482	17	120	1
131655783	7	120	1
131657024	6	120	1
131657718	56	120	1
131658057	11	120	1
131658200	11	120	1
131660336	42	120	1
131660391	46	120	1
131660430	15	120	1
131660756	60	120	1
131660985	3	120	1
131662172	18	120	1
131662462	18	120	1
131662617	19	120	1
131662656	48	120	1
131663374	17	120	1
131663538	55	120	1
131664277	47	120	1
131664961	5	120	1
131665860	6	120	1
131667113	6	120	1
131667482	14	120	1
131670507	12	120	1
131671838	56	120	1
131672141	3	120	1
131672233	33	120	1
131672716	53	120	1
131672746	54	120	1
131672808	53	120	1
131673064	53	120	1
131673221	6	120	1
131673320	17	120	1
131673406	5	120	1
131673467	17	120	1
131674139	14	120	1
131674722	2	120	1
131674950	12	120	1
131675695	3	120	1
131675700	5	120	1
131677143	52	120	1
131677421	56	120	1
131677607	5	120	1
131677725	52	120	1
131678260	44	120	1
131678640	3	120	1
131678674	9	120	1
131679217	59	120	1
131679510	43	120	1
131679645	5	120	1
131680103	44	120	1
131680988	7	120	1
131681220	44	120	1
131681534	3	120	1
131681557	50	120	1
131681964	12	120	1
131682024	44	120	1
131682428	44	120	1
131682560	11	120	1
131685052	5	120	1
131685236	12	120	1
131686417	5	120	1
131686432	52	120	1
131686594	4	120	1
131687123	50	120	1
131687151	4	120	1
131689809	52	120	1
131689870	3	120	1
131689879	5	120	1
131689943	3	120	1
131690424	7	120	1
131690467	8	120	1
131691397	5	120	1
131691689	5	120	1
131691948	14	120	1
131691968	11	120	1
131692143	50	120	1
131692621	56	120	1
131693111	13	120	1
131693113	5	120	1
131693381	3	120	1
131693839	14	120	1
131694426	10	120	1
131694527	12	120	1
131694670	8	120	1
131694726	13	120	1
131694826	59	120	1
131694973	12	120	1
131694998	9	120	1
131695960	4	120	1
131696080	3	120	1
131696111	23	120	1
131696471	6	120	1
131697251	12	120	1
131697867	42	120	1
131698062	12	120	1
131698348	48	120	1
131698601	5	120	1
131698617	58	120	1
131698748	54	120	1
131699174	3	120	1
131699256	58	120	1
131699385	57	120	1
131699413	6	120	1
131700490	3	120	1
131700592	54	120	1
131700674	54	120	1
131700701	58	120	1
131701172	20	120	1
131701221	40	120	1
131701320	10	120	1
131702010	12	120	1
131702163	26	120	1
131702386	14	120	1
131702708	57	120	1
131702769	14	120	1
131702858	3	120	1
131703544	5	120	1
131704425	3	120	1
131705082	3	120	1
131705103	3	120	1
131705289	57	120	1
131705618	53	120	1
131705639	4	120	1
131706557	52	120	1
131706828	4	120	1
131707104	52	120	1
131707197	59	120	1
131707319	54	120	1
131707332	57	120	1
131708027	57	120	1
131708045	44	120	1
131708214	12	120	1
131708949	56	120	1
131709010	3	120	1
131709339	57	120	1
131709400	5	120	1
131709430	5	120	1
131709783	3	120	1
131709906	54	120	1
131710081	59	120	1
131710132	57	120	1
131710319	57	120	1
131710386	54	120	1
131710530	3	120	1
131710622	3	120	1
131710778	58	120	1
131710826	54	120	1
131711060	54	120	1
131711394	54	120	1
131712006	54	120	1
131712308	54	120	1
131712436	56	120	1
131712632	59	120	1
131712883	56	120	1
131712897	42	120	1
131712930	3	120	1
131712949	4	120	1
131713483	59	120	1
131713658	3	120	1
131713905	56	120	1
131714010	44	120	1
131714199	5	120	1
131714367	54	120	1
131714385	10	120	1
131714525	3	120	1
131714646	55	120	1
131715203	55	120	1
131715332	56	120	1
131715504	13	120	1
131715625	53	120	1
131715657	57	120	1
131716062	55	120	1
131716205	43	120	1
131716327	3	120	1
131716607	5	120	1
131716761	55	120	1
131716793	52	120	1
131717240	5	120	1
131717246	2	120	1
131718103	11	120	1
131718291	3	120	1
131718535	23	120	1
131718809	56	120	1
131718847	5	120	1
131719059	3	120	1
131719082	9	120	1
131719134	3	120	1
131719468	12	120	1
131719514	51	120	1
131719525	3	120	1
131719718	12	120	1
131720872	53	120	1
131721071	35	120	1
131721072	25	120	1
131721273	48	120	1
131721763	46	120	1
131721888	11	120	1
131722414	16	120	1
131722437	2	120	1
131722635	9	120	1
131724431	3	120	1
131724605	4	120	1
131724938	5	120	1
131725137	2	120	1
131725448	24	120	1
131725556	21	120	1
131725939	21	120	1
131725949	5	120	1
131726412	4	120	1
131726810	26	120	1
131727425	16	120	1
131727883	17	120	1
131727929	3	120	1
131728084	3	120	1
131728457	8	120	1
131729192	51	120	1
131729834	7	120	1
131729839	51	120	1
131730429	3	120	1
131730455	51	120	1
131731203	54	120	1
131731725	54	120	1
131731780	60	120	1
131731925	54	120	1
131732418	53	120	1
131732444	6	120	1
131732453	53	120	1
131734144	57	120	1
131734789	8	120	1
131734807	11	120	1
131735100	57	120	1
131735517	3	120	1
131735837	10	120	1
131735901	57	120	1
131736043	57	120	1
131736130	57	120	1
131736494	54	120	1
131736689	57	120	1
131736690	57	120	1
131736897	59	120	1
131737182	53	120	1
131737201	3	120	1
131737315	57	120	1
131738020	57	120	1
131738173	53	120	1
131738388	53	120	1
131738529	57	120	1
131738556	57	120	1
131739351	4	120	1
131739529	57	120	1
131739532	57	120	1
131739849	16	120	1
131740286	53	120	1
131740294	57	120	1
131740301	10	120	1
131740500	54	120	1
131740524	8	120	1
131741124	55	120	1
131741182	57	120	1
131741234	7	120	1
131741236	56	120	1
131741367	53	120	1
131741804	12	120	1
131741864	52	120	1
131742052	53	120	1
131742511	53	120	1
131742803	3	120	1
131743101	52	120	1
131743526	53	120	1
131743561	53	120	1
131743724	53	120	1
131744109	53	120	1
131744289	3	120	1
131744731	54	120	1
131744733	54	120	1
131744807	54	120	1
131745035	54	120	1
131745106	54	120	1
131745258	57	120	1
131746145	10	120	1
131746724	53	120	1
131746806	56	120	1
131747155	57	120	1
131748586	11	120	1
131748881	55	120	1
131749077	52	120	1
131749117	55	120	1
131749515	52	120	1
131750583	53	120	1
131751407	10	120	1
131751801	54	120	1
131753007	4	120	1
131753848	57	120	1
131753870	54	120	1
131754175	54	120	1
131755218	55	120	1
131755378	16	120	1
131755395	57	120	1
131755400	13	120	1
131755430	53	120	1
131755473	11	120	1
131755524	3	120	1
131755647	53	120	1
131755704	56	120	1
131755762	53	120	1
131755941	10	120	1
131755959	56	120	1
131756117	56	120	1
131757588	53	120	1
131759315	3	120	1
131759911	53	120	1
131760786	9	120	1
131760795	49	120	1
131761682	14	120	1
131762423	8	120	1
131763950	9	120	1
131764063	59	120	1
131764402	4	120	1
131765257	25	120	1
131765782	3	120	1
131766550	9	120	1
131766974	59	120	1
131767530	47	120	1
131768619	12	120	1
131769115	47	120	1
131769134	9	120	1
131769576	59	120	1
131770631	12	120	1
131771374	12	120	1
131771793	3	120	1
131772307	12	120	1
131772792	32	120	1
131773500	12	120	1
131773901	58	120	1
131776375	2	120	1
131777323	2	120	1
131778199	12	120	1
131778433	10	120	1
131778491	60	120	1
131779079	3	120	1
131779370	3	120	1
131779454	3	120	1
131779949	48	120	1
131780349	59	120	1
131782119	15	120	1
131782777	3	120	1
131783340	60	120	1
131785043	47	120	1
131785876	60	120	1
131786756	58	120	1
131786818	58	120	1
131787464	48	120	1
131787640	25	120	1
131790342	46	120	1
131790728	6	120	1
131792543	9	120	1
131793408	2	120	1
131793856	2	120	1
131794088	20	120	1
131795707	3	120	1
131796204	2	120	1
131797232	34	120	1
131797306	4	120	1
131797545	8	120	1
131798581	4	120	1
131799047	22	120	1
131799117	4	120	1
131799692	35	120	1
131799870	3	120	1
131800498	4	120	1
131800537	22	120	1
131800652	34	120	1
131800690	19	120	1
131801278	9	120	1
131801656	31	120	1
131801661	4	120	1
131802984	30	120	1
131803470	25	120	1
131803538	30	120	1
131803727	8	120	1
131803787	29	120	1
131805243	8	120	1
131806192	3	120	1
131806549	4	120	1
131807653	5	120	1
131809061	36	120	1
131809119	5	120	1
131809203	42	120	1
131810200	5	120	1
131810663	37	120	1
131810933	47	120	1
131811601	43	120	1
131812742	2	120	1
131812825	39	120	1
131812872	6	120	1
131812876	7	120	1
131813353	6	120	1
131813456	3	120	1
131813606	44	120	1
131814083	2	120	1
131814119	8	120	1
131815507	3	120	1
131816090	45	120	1
131816458	41	120	1
131817529	4	120	1
131817583	30	120	1
131817933	4	120	1
131818105	10	120	1
131818202	33	120	1
131818873	23	120	1
131819388	23	120	1
131819466	42	120	1
131819658	31	120	1
131819740	16	120	1
131819887	41	120	1
131820088	45	120	1
131820827	41	120	1
131821516	3	120	1
131821936	45	120	1
131822325	41	120	1
131822329	41	120	1
131823634	11	120	1
131823737	18	120	1
131823746	28	120	1
131826350	3	120	1
131827152	4	120	1
131828186	3	120	1
131828345	3	120	1
131828886	3	120	1
131829269	46	120	1
131829406	6	120	1
131829685	44	120	1
131829831	6	120	1
131830268	16	120	1
131837030	9	120	1
131837514	41	120	1
131838853	43	120	1
131838928	41	120	1
131839763	8	120	1
131839770	41	120	1
131839938	41	120	1
131839947	46	120	1
131840018	41	120	1
131840118	41	120	1
131840233	19	120	1
131840799	41	120	1
131841003	40	120	1
131841048	41	120	1
131841157	19	120	1
131841185	41	120	1
131841244	41	120	1
131841292	43	120	1
131841349	21	120	1
131841894	19	120	1
131842697	17	120	1
131843536	3	120	1
131843594	32	120	1
131843969	2	120	1
131844546	28	120	1
131844620	37	120	1
131844621	37	120	1
131845506	48	120	1
131845983	37	120	1
131846138	47	120	1
131846310	19	120	1
131847213	37	120	1
131847383	27	120	1
131847614	5	120	1
131848475	9	120	1
131848877	29	120	1
131850759	48	120	1
131850991	34	120	1
131851486	9	120	1
131851821	31	120	1
131851822	30	120	1
131852156	8	120	1
131852163	6	120	1
131852288	12	120	1
131853438	7	120	1
131854143	10	120	1
131854477	4	120	1
131855166	9	120	1
131855386	9	120	1
131855643	47	120	1
131855919	45	120	1
131856768	14	120	1
131857680	13	120	1
131857772	13	120	1
131858107	13	120	1
131858450	11	120	1
131858694	13	120	1
131859111	9	120	1
131859114	8	120	1
131859385	4	120	1
131859724	46	120	1
131860772	27	120	1
131860903	28	120	1
131861145	46	120	1
131861219	13	120	1
131862005	46	120	1
131862867	33	120	1
131862924	7	120	1
131862998	5	120	1
131864868	12	120	1
131865317	26	120	1
131865852	33	120	1
131866663	33	120	1
131866895	13	120	1
131869101	35	120	1
131869667	33	120	1
131871067	5	120	1
131871795	26	120	1
131872106	46	120	1
131872482	2	120	1
131872750	13	120	1
131872774	46	120	1
131872917	46	120	1
131873568	13	120	1
131873659	13	120	1
131874923	46	120	1
131875030	48	120	1
131875137	7	120	1
131875649	9	120	1
131875700	26	120	1
131875951	33	120	1
131876663	46	120	1
131877376	33	120	1
131877418	33	120	1
131877537	33	120	1
131878008	15	120	1
131878439	36	120	1
131878887	7	120	1
131879151	2	120	1
131879462	33	120	1
131879635	33	120	1
131879741	26	120	1
131881158	33	120	1
131881681	14	120	1
131883518	14	120	1
131883680	32	120	1
131883815	13	120	1
131883999	14	120	1
131884451	7	120	1
131884796	30	120	1
131885108	13	120	1
131885202	32	120	1
131885238	33	120	1
131886318	11	120	1
131887049	33	120	1
131887081	33	120	1
131887093	7	120	1
131887635	9	120	1
131888426	5	120	1
131888777	33	120	1
131888787	46	120	1
131889773	13	120	1
131890296	25	120	1
131891157	7	120	1
131891494	33	120	1
131891497	34	120	1
131891867	32	120	1
131892321	32	120	1
131892418	19	120	1
131892709	33	120	1
131892926	13	120	1
131893100	33	120	1
131893737	33	120	1
131894058	13	120	1
131894202	33	120	1
131894387	2	120	1
131895356	34	120	1
131895789	33	120	1
131897402	33	120	1
131897452	29	120	1
131897744	33	120	1
131897996	16	120	1
131898248	33	120	1
131898654	33	120	1
131898901	33	120	1
131899304	13	120	1
131899375	33	120	1
131899443	45	120	1
131900082	4	120	1
131900616	26	120	1
131901237	33	120	1
131901355	33	120	1
131901847	4	120	1
131902071	46	120	1
131903315	4	120	1
131903439	31	120	1
131904592	7	120	1
131904708	31	120	1
131905099	22	120	1
131905737	13	120	1
131906048	33	120	1
131906285	33	120	1
131906677	33	120	1
131907080	33	120	1
131907083	46	120	1
131907340	8	120	1
131907764	33	120	1
131908045	33	120	1
131908343	33	120	1
131908449	7	120	1
131908672	7	120	1
131908943	33	120	1
131908951	31	120	1
131909766	15	120	1
131909768	17	120	1
131910393	33	120	1
131910836	33	120	1
131911037	3	120	1
131911254	7	120	1
131911268	12	120	1
131911663	21	120	1
131912189	6	120	1
131912247	33	120	1
131913214	3	120	1
131913458	32	120	1
131913660	8	120	1
131914297	12	120	1
131915229	4	120	1
131915655	31	120	1
131916611	15	120	1
131919350	46	120	1
131919573	33	120	1
131919653	33	120	1
131919657	7	120	1
131921190	13	120	1
131921437	26	120	1
131921716	3	120	1
131922052	45	120	1
131922116	20	120	1
131922190	33	120	1
131922446	33	120	1
131922573	26	120	1
131923013	33	120	1
131923088	11	120	1
131923155	46	120	1
131923243	33	120	1
131923974	13	120	1
131923994	32	120	1
131924348	28	120	1
131924841	13	120	1
131924949	7	120	1
131925924	7	120	1
131925925	8	120	1
131926718	26	120	1
131927202	2	120	1
131927950	25	120	1
131928211	3	120	1
131928758	11	120	1
131929052	59	120	1
131929226	8	120	1
131930241	11	120	1
131930371	7	120	1
131931912	26	120	1
131931938	8	120	1
131932148	42	120	1
131933044	44	120	1
131933892	17	120	1
131934973	26	120	1
131936095	13	120	1
131936683	7	120	1
131936877	32	120	1
131937131	6	120	1
131937357	6	120	1
131937795	6	120	1
131939289	7	120	1
131939950	7	120	1
131939988	5	120	1
131940096	5	120	1
131940244	10	120	1
131940272	26	120	1
131940563	31	120	1
131940904	45	120	1
131941053	26	120	1
131941076	5	120	1
131942794	7	120	1
131942926	7	120	1
131943173	13	120	1
131943291	13	120	1
131943327	7	120	1
131943368	7	120	1
131943459	7	120	1
131943764	19	120	1
131943909	7	120	1
131944068	7	120	1
131944707	31	120	1
131944846	7	120	1
131945045	2	120	1
131945144	7	120	1
131945166	7	120	1
131945262	19	120	1
131945264	7	120	1
131945676	23	120	1
131947564	13	120	1
131947886	7	120	1
131948164	46	120	1
131948430	7	120	1
131948697	7	120	1
131949993	7	120	1
131950021	33	120	1
131950261	6	120	1
131950686	27	120	1
131951315	22	120	1
131952738	12	120	1
131953461	8	120	1
131953604	38	120	1
131953677	4	120	1
131954313	17	120	1
131954561	6	120	1
131956225	9	120	1
131957118	7	120	1
131958064	3	120	1
131958816	29	120	1
131958819	19	120	1
131959050	13	120	1
131959098	7	120	1
131959133	9	120	1
131959254	10	120	1
131959836	7	120	1
131959898	13	120	1
131959999	5	120	1
131960256	11	120	1
131960992	46	120	1
131961028	26	120	1
131961116	26	120	1
131961344	7	120	1
131961581	7	120	1
131961762	6	120	1
131961769	33	120	1
131962572	7	120	1
131962673	7	120	1
131962790	13	120	1
131962939	46	120	1
131963596	46	120	1
131964217	17	120	1
131964411	12	120	1
131965123	33	120	1
131965429	26	120	1
131965473	26	120	1
131965675	26	120	1
131966088	25	120	1
131966242	26	120	1
131967539	26	120	1
131968020	15	120	1
131968074	23	120	1
131968172	32	120	1
131968468	13	120	1
131969782	33	120	1
131969826	33	120	1
131970669	33	120	1
131971021	23	120	1
131971303	46	120	1
131971320	26	120	1
131971488	25	120	1
131972180	46	120	1
131972670	46	120	1
131972967	13	120	1
131973017	7	120	1
131973100	12	120	1
131973921	26	120	1
131974495	46	120	1
131975472	48	120	1
131975576	6	120	1
131975796	25	120	1
131976274	46	120	1
131976433	46	120	1
131976813	13	120	1
131977105	32	120	1
131977493	5	120	1
131977519	8	120	1
131977529	23	120	1
131978536	13	120	1
131979108	13	120	1
131980221	45	120	1
131980403	26	120	1
131981835	42	120	1
131981839	43	120	1
131981992	44	120	1
131982368	43	120	1
131983201	45	120	1
131983385	45	120	1
131984206	6	120	1
131984472	10	120	1
131985594	7	120	1
131985846	36	120	1
131985856	7	120	1
131986067	5	120	1
131986201	14	120	1
131986258	26	120	1
131986668	28	120	1
131986680	27	120	1
131986946	55	120	1
131987147	6	120	1
131988059	16	120	1
131988111	27	120	1
131988120	55	120	1
131988618	36	120	1
131988633	36	120	1
131988767	7	120	1
131988830	22	120	1
131989008	24	120	1
131989088	17	120	1
131989639	10	120	1
131990137	26	120	1
131990139	11	120	1
131991263	48	120	1
131991391	11	120	1
131991874	15	120	1
131992259	11	120	1
131992298	11	120	1
131992564	15	120	1
131992953	11	120	1
131993130	11	120	1
131993401	53	120	1
131993409	30	120	1
131993500	16	120	1
131993715	37	120	1
131993726	9	120	1
131993728	11	120	1
131994234	11	120	1
131994588	37	120	1
131994601	11	120	1
131994695	11	120	1
131994778	8	120	1
131994964	48	120	1
131995219	11	120	1
131995231	11	120	1
