M1	M2	11	12	21	22	sample_size
1	53	NaN	NaN	NaN	NaN	89
1	54	NaN	NaN	NaN	NaN	89
1	55	NaN	NaN	NaN	NaN	88
1	56	NaN	NaN	NaN	NaN	88
1	57	NaN	NaN	NaN	NaN	89
1	58	NaN	NaN	NaN	NaN	89
1	59	NaN	NaN	NaN	NaN	89
1	60	NaN	NaN	NaN	NaN	88
1	61	NaN	NaN	NaN	NaN	89
1	62	NaN	NaN	NaN	NaN	80
1	63	NaN	NaN	NaN	NaN	88
1	64	NaN	NaN	NaN	NaN	88
1	65	NaN	NaN	NaN	NaN	88
1	66	NaN	NaN	NaN	NaN	89
1	67	NaN	NaN	NaN	NaN	89
1	68	NaN	NaN	NaN	NaN	89
1	69	NaN	NaN	NaN	NaN	89
1	70	NaN	NaN	NaN	NaN	89
1	71	NaN	NaN	NaN	NaN	89
1	72	NaN	NaN	NaN	NaN	89
1	73	NaN	NaN	NaN	NaN	89
1	74	NaN	NaN	NaN	NaN	89
1	75	NaN	NaN	NaN	NaN	86
1	76	NaN	NaN	NaN	NaN	89
1	77	NaN	NaN	NaN	NaN	89
1	78	NaN	NaN	NaN	NaN	89
1	79	NaN	NaN	NaN	NaN	89
1	80	NaN	NaN	NaN	NaN	88
1	81	NaN	NaN	NaN	NaN	89
1	82	NaN	NaN	NaN	NaN	89
1	83	NaN	NaN	NaN	NaN	88
1	84	NaN	NaN	NaN	NaN	87
1	85	NaN	NaN	NaN	NaN	89
1	86	NaN	NaN	NaN	NaN	89
1	87	NaN	NaN	NaN	NaN	89
1	88	NaN	NaN	NaN	NaN	89
1	89	NaN	NaN	NaN	NaN	89
1	90	NaN	NaN	NaN	NaN	89
1	91	NaN	NaN	NaN	NaN	89
1	92	NaN	NaN	NaN	NaN	88
1	93	NaN	NaN	NaN	NaN	89
1	94	NaN	NaN	NaN	NaN	88
1	95	NaN	NaN	NaN	NaN	89
1	96	NaN	NaN	NaN	NaN	89
1	97	NaN	NaN	NaN	NaN	89
1	98	NaN	NaN	NaN	NaN	89
1	99	NaN	NaN	NaN	NaN	88
1	100	NaN	NaN	NaN	NaN	89
1	101	NaN	NaN	NaN	NaN	80
1	102	NaN	NaN	NaN	NaN	88
1	103	NaN	NaN	NaN	NaN	89
1	104	NaN	NaN	NaN	NaN	85
1	105	NaN	NaN	NaN	NaN	89
1	106	NaN	NaN	NaN	NaN	89
1	107	NaN	NaN	NaN	NaN	89
1	108	NaN	NaN	NaN	NaN	89
1	109	NaN	NaN	NaN	NaN	88
1	110	NaN	NaN	NaN	NaN	89
1	111	NaN	NaN	NaN	NaN	81
1	112	NaN	NaN	NaN	NaN	89
1	113	NaN	NaN	NaN	NaN	88
1	114	NaN	NaN	NaN	NaN	89
1	115	NaN	NaN	NaN	NaN	89
1	116	NaN	NaN	NaN	NaN	89
1	117	NaN	NaN	NaN	NaN	89
1	118	NaN	NaN	NaN	NaN	88
1	119	NaN	NaN	NaN	NaN	89
1	120	NaN	NaN	NaN	NaN	89
1	121	NaN	NaN	NaN	NaN	89
1	122	NaN	NaN	NaN	NaN	89
1	123	NaN	NaN	NaN	NaN	89
1	124	NaN	NaN	NaN	NaN	89
1	125	NaN	NaN	NaN	NaN	79
1	126	NaN	NaN	NaN	NaN	88
1	127	NaN	NaN	NaN	NaN	89
1	128	NaN	NaN	NaN	NaN	89
1	129	NaN	NaN	NaN	NaN	89
1	130	NaN	NaN	NaN	NaN	87
1	131	NaN	NaN	NaN	NaN	89
1	132	NaN	NaN	NaN	NaN	88
1	133	NaN	NaN	NaN	NaN	88
1	134	NaN	NaN	NaN	NaN	89
1	135	NaN	NaN	NaN	NaN	89
1	136	NaN	NaN	NaN	NaN	89
1	137	NaN	NaN	NaN	NaN	83
1	138	NaN	NaN	NaN	NaN	89
1	139	NaN	NaN	NaN	NaN	87
1	140	NaN	NaN	NaN	NaN	89
1	141	NaN	NaN	NaN	NaN	88
1	142	NaN	NaN	NaN	NaN	88
1	143	NaN	NaN	NaN	NaN	89
1	144	NaN	NaN	NaN	NaN	87
1	145	NaN	NaN	NaN	NaN	89
1	146	NaN	NaN	NaN	NaN	76
1	147	NaN	NaN	NaN	NaN	86
1	148	NaN	NaN	NaN	NaN	89
1	149	NaN	NaN	NaN	NaN	86
1	150	NaN	NaN	NaN	NaN	88
1	151	NaN	NaN	NaN	NaN	87
1	152	NaN	NaN	NaN	NaN	89
1	153	NaN	NaN	NaN	NaN	89
1	154	NaN	NaN	NaN	NaN	82
1	155	NaN	NaN	NaN	NaN	89
1	156	NaN	NaN	NaN	NaN	88
1	157	NaN	NaN	NaN	NaN	81
1	158	NaN	NaN	NaN	NaN	89
1	159	NaN	NaN	NaN	NaN	89
1	160	NaN	NaN	NaN	NaN	89
1	161	NaN	NaN	NaN	NaN	89
1	162	NaN	NaN	NaN	NaN	89
1	163	NaN	NaN	NaN	NaN	89
1	164	NaN	NaN	NaN	NaN	89
1	165	NaN	NaN	NaN	NaN	89
1	166	NaN	NaN	NaN	NaN	88
1	167	NaN	NaN	NaN	NaN	88
1	168	NaN	NaN	NaN	NaN	89
1	169	NaN	NaN	NaN	NaN	89
1	170	NaN	NaN	NaN	NaN	85
1	171	NaN	NaN	NaN	NaN	89
1	172	NaN	NaN	NaN	NaN	89
1	173	NaN	NaN	NaN	NaN	88
1	174	NaN	NaN	NaN	NaN	89
1	175	NaN	NaN	NaN	NaN	89
1	176	NaN	NaN	NaN	NaN	89
1	177	NaN	NaN	NaN	NaN	89
1	178	NaN	NaN	NaN	NaN	89
1	179	NaN	NaN	NaN	NaN	88
1	180	NaN	NaN	NaN	NaN	89
1	181	NaN	NaN	NaN	NaN	89
1	182	NaN	NaN	NaN	NaN	89
1	183	NaN	NaN	NaN	NaN	86
1	184	NaN	NaN	NaN	NaN	89
1	185	NaN	NaN	NaN	NaN	89
1	186	NaN	NaN	NaN	NaN	89
1	187	NaN	NaN	NaN	NaN	89
1	188	NaN	NaN	NaN	NaN	89
1	189	NaN	NaN	NaN	NaN	89
1	190	NaN	NaN	NaN	NaN	88
1	191	NaN	NaN	NaN	NaN	89
1	192	NaN	NaN	NaN	NaN	89
1	193	NaN	NaN	NaN	NaN	88
1	194	NaN	NaN	NaN	NaN	89
1	195	NaN	NaN	NaN	NaN	76
1	196	NaN	NaN	NaN	NaN	89
1	197	NaN	NaN	NaN	NaN	88
1	198	NaN	NaN	NaN	NaN	89
1	199	NaN	NaN	NaN	NaN	89
1	200	NaN	NaN	NaN	NaN	86
1	201	NaN	NaN	NaN	NaN	89
1	202	NaN	NaN	NaN	NaN	89
1	203	NaN	NaN	NaN	NaN	83
1	204	NaN	NaN	NaN	NaN	89
1	205	NaN	NaN	NaN	NaN	81
1	206	NaN	NaN	NaN	NaN	88
1	207	NaN	NaN	NaN	NaN	89
1	208	NaN	NaN	NaN	NaN	89
1	209	NaN	NaN	NaN	NaN	89
1	210	NaN	NaN	NaN	NaN	86
1	211	NaN	NaN	NaN	NaN	84
1	212	NaN	NaN	NaN	NaN	89
1	213	NaN	NaN	NaN	NaN	88
1	214	NaN	NaN	NaN	NaN	75
1	215	NaN	NaN	NaN	NaN	89
1	216	NaN	NaN	NaN	NaN	89
1	217	NaN	NaN	NaN	NaN	87
1	218	NaN	NaN	NaN	NaN	87
1	219	NaN	NaN	NaN	NaN	89
1	220	NaN	NaN	NaN	NaN	85
1	221	NaN	NaN	NaN	NaN	87
1	222	NaN	NaN	NaN	NaN	82
1	223	NaN	NaN	NaN	NaN	88
1	224	NaN	NaN	NaN	NaN	88
1	225	NaN	NaN	NaN	NaN	86
1	226	NaN	NaN	NaN	NaN	89
1	227	NaN	NaN	NaN	NaN	88
1	228	NaN	NaN	NaN	NaN	89
1	229	NaN	NaN	NaN	NaN	88
1	230	NaN	NaN	NaN	NaN	87
1	231	NaN	NaN	NaN	NaN	89
1	232	NaN	NaN	NaN	NaN	84
1	233	NaN	NaN	NaN	NaN	71
1	234	NaN	NaN	NaN	NaN	89
1	235	NaN	NaN	NaN	NaN	89
1	236	NaN	NaN	NaN	NaN	88
1	237	NaN	NaN	NaN	NaN	89
1	238	NaN	NaN	NaN	NaN	88
1	239	NaN	NaN	NaN	NaN	89
1	240	NaN	NaN	NaN	NaN	89
1	241	NaN	NaN	NaN	NaN	89
1	242	NaN	NaN	NaN	NaN	89
1	243	NaN	NaN	NaN	NaN	89
1	244	NaN	NaN	NaN	NaN	89
1	245	NaN	NaN	NaN	NaN	89
1	246	NaN	NaN	NaN	NaN	80
1	247	NaN	NaN	NaN	NaN	89
1	248	NaN	NaN	NaN	NaN	83
1	249	NaN	NaN	NaN	NaN	84
1	250	NaN	NaN	NaN	NaN	80
1	251	NaN	NaN	NaN	NaN	74
1	252	NaN	NaN	NaN	NaN	89
1	253	NaN	NaN	NaN	NaN	89
1	254	NaN	NaN	NaN	NaN	89
1	255	NaN	NaN	NaN	NaN	86
1	256	NaN	NaN	NaN	NaN	88
1	257	NaN	NaN	NaN	NaN	89
1	258	NaN	NaN	NaN	NaN	89
1	259	NaN	NaN	NaN	NaN	89
1	260	NaN	NaN	NaN	NaN	89
1	261	NaN	NaN	NaN	NaN	89
1	262	NaN	NaN	NaN	NaN	87
1	263	NaN	NaN	NaN	NaN	88
1	264	NaN	NaN	NaN	NaN	89
1	265	NaN	NaN	NaN	NaN	88
1	266	NaN	NaN	NaN	NaN	83
1	267	NaN	NaN	NaN	NaN	89
1	268	NaN	NaN	NaN	NaN	86
1	269	NaN	NaN	NaN	NaN	89
1	270	NaN	NaN	NaN	NaN	89
1	271	NaN	NaN	NaN	NaN	88
1	272	NaN	NaN	NaN	NaN	89
1	273	NaN	NaN	NaN	NaN	89
1	274	NaN	NaN	NaN	NaN	89
1	275	NaN	NaN	NaN	NaN	89
1	276	NaN	NaN	NaN	NaN	89
1	277	NaN	NaN	NaN	NaN	89
1	278	NaN	NaN	NaN	NaN	84
1	279	NaN	NaN	NaN	NaN	87
1	280	NaN	NaN	NaN	NaN	88
1	281	NaN	NaN	NaN	NaN	85
1	282	NaN	NaN	NaN	NaN	89
1	283	NaN	NaN	NaN	NaN	88
1	284	NaN	NaN	NaN	NaN	89
1	285	NaN	NaN	NaN	NaN	88
1	286	NaN	NaN	NaN	NaN	89
1	287	NaN	NaN	NaN	NaN	85
1	288	NaN	NaN	NaN	NaN	87
1	289	NaN	NaN	NaN	NaN	89
1	290	NaN	NaN	NaN	NaN	85
1	291	NaN	NaN	NaN	NaN	89
1	292	NaN	NaN	NaN	NaN	87
1	293	NaN	NaN	NaN	NaN	89
1	294	NaN	NaN	NaN	NaN	83
1	295	NaN	NaN	NaN	NaN	83
1	296	NaN	NaN	NaN	NaN	89
1	297	NaN	NaN	NaN	NaN	89
1	298	NaN	NaN	NaN	NaN	89
1	299	NaN	NaN	NaN	NaN	89
1	300	NaN	NaN	NaN	NaN	88
1	301	NaN	NaN	NaN	NaN	89
1	302	NaN	NaN	NaN	NaN	84
1	303	NaN	NaN	NaN	NaN	87
1	304	NaN	NaN	NaN	NaN	89
1	305	NaN	NaN	NaN	NaN	82
1	306	NaN	NaN	NaN	NaN	89
1	307	NaN	NaN	NaN	NaN	89
1	308	NaN	NaN	NaN	NaN	89
1	309	NaN	NaN	NaN	NaN	89
1	310	NaN	NaN	NaN	NaN	86
1	311	NaN	NaN	NaN	NaN	89
1	312	NaN	NaN	NaN	NaN	89
1	313	NaN	NaN	NaN	NaN	89
1	314	NaN	NaN	NaN	NaN	89
1	315	NaN	NaN	NaN	NaN	89
1	316	NaN	NaN	NaN	NaN	89
1	317	NaN	NaN	NaN	NaN	89
1	318	NaN	NaN	NaN	NaN	89
1	319	NaN	NaN	NaN	NaN	86
1	320	NaN	NaN	NaN	NaN	85
1	321	NaN	NaN	NaN	NaN	89
1	322	NaN	NaN	NaN	NaN	86
1	323	NaN	NaN	NaN	NaN	89
1	324	NaN	NaN	NaN	NaN	89
1	325	NaN	NaN	NaN	NaN	88
1	326	NaN	NaN	NaN	NaN	89
1	327	NaN	NaN	NaN	NaN	88
1	328	NaN	NaN	NaN	NaN	88
1	329	NaN	NaN	NaN	NaN	89
1	330	NaN	NaN	NaN	NaN	89
1	331	NaN	NaN	NaN	NaN	89
1	332	NaN	NaN	NaN	NaN	89
1	333	NaN	NaN	NaN	NaN	89
1	334	NaN	NaN	NaN	NaN	89
1	335	NaN	NaN	NaN	NaN	89
1	336	NaN	NaN	NaN	NaN	89
1	337	NaN	NaN	NaN	NaN	89
2	3	NaN	NaN	NaN	NaN	84
2	4	0.9102564058835256	4.372884590044015E-9	0.057692312065192285	0.03205127767839746	78
2	5	0.6571428041194184	0.25000005302343875	5.302343875634996E-8	0.0928570898337041	70
2	6	0.9147727231311692	4.141557999326473E-9	0.056818185959739816	0.02840908676753291	88
2	7	NaN	NaN	NaN	NaN	88
2	8	0.9147727258168413	1.4558859572456515E-9	0.03409091054679505	0.05113636218047768	88
2	9	0.9127906932786444	4.395774287204826E-9	0.058139539279495216	0.02906976304608618	86
2	10	NaN	NaN	NaN	NaN	88
2	11	0.7776024447154686	0.13717028255725877	0.0689884643754406	0.016238808351832137	88
2	12	0.9166666629552148	3.711451837000512E-9	0.0535714322828804	0.029761901050452923	84
2	13	0.914772723074454	4.198273222122406E-9	0.056818186016455045	0.028409086710817686	88
2	14	0.9147727231461998	4.126527408917805E-9	0.05681818594470923	0.0284090867825635	88
2	15	0.9147727256569366	1.6157905922333591E-9	0.03409091070669968	0.05113636202057304	88
2	16	NaN	NaN	NaN	NaN	88
2	17	0.7747923806424553	0.13900072280582063	0.07003520556444132	0.01617169098728282	87
2	18	0.758301616653938	0.15647111061878927	0.03147111061878927	0.05375616210848345	88
2	19	0.7699719622839928	0.14863268887879785	0.03235361911135599	0.04904172972585332	86
2	20	NaN	NaN	NaN	NaN	87
2	21	0.7776041366291025	0.13716859064362474	0.06898677246180655	0.01624050026546618	88
2	22	0.8843385357839252	0.03043419148880212	0.05884328239789303	0.0263839903293797	88
2	23	0.7776041365364871	0.13716859073624024	0.06898677255442207	0.016240500172850666	88
2	24	NaN	NaN	NaN	NaN	80
2	25	0.9062499937107977	6.2892022423266525E-9	0.06875000628920225	0.02499999371079776	80
2	26	0.7747905873141382	0.13900251613413775	0.07003699889275845	0.01616989765896569	87
2	27	0.775724727084673	0.13603997879768007	0.07133409644473888	0.01690119767290818	85
2	28	0.9089063547957938	0.005866372476933423	0.028593645204206153	0.056633627523066575	88
2	29	0.7645084838145624	0.1502642434581649	0.07071878891271036	0.014508483814562372	88
2	30	0.7645108485930063	0.15026187867972085	0.07071642413426632	0.014510848593006413	88
2	31	0.8707688135548586	0.04400391371786874	0.08377664099059601	0.0014506317366767155	88
2	32	0.7681640865268458	0.14562901692143018	0.07091637324326924	0.015290523308454892	87
2	33	0.9135661225923464	0.005974107292711112	0.03470973947661916	0.04575003063832337	87
2	34	0.7645108476756634	0.15026187959706386	0.0707164250516093	0.014510847675663418	88
2	35	0.768927036361307	0.14673561424110262	0.07444645761459659	0.009890891782993768	83
2	36	NaN	NaN	NaN	NaN	85
2	37	0.7287745119605763	0.18501859148769953	0.006857671947469641	0.0793492246042545	87
2	38	0.7893276069826612	0.12544512029006608	0.07430875665370244	0.010918516073570292	88
2	39	0.8363399910404384	0.06991000895956155	0.08866000895956155	0.005089991040438446	80
2	40	NaN	NaN	NaN	NaN	88
2	41	0.7718657009774401	0.14290702629528707	0.006543389931650717	0.07868388279562201	88
2	42	0.8707687840138483	0.04400394325887903	0.08377667053160631	0.0014506021956664185	88
2	43	0.913793098073282	5.374993724689899E-9	0.06321839617959142	0.022988500372132712	87
2	44	0.9078174914540197	0.005975611994256146	0.034711244178164194	0.05149565237355994	87
2	45	0.7774972441995112	0.13727548307321602	0.006593664891397829	0.0786336078358749	88
2	46	NaN	NaN	NaN	NaN	87
2	47	0.9137931017500039	1.698271988554453E-9	0.03448276031896164	0.051724136232762494	87
2	48	0.8707687830495661	0.04400394422316117	0.08377667149588845	0.0014506012313842797	88
2	49	NaN	NaN	NaN	NaN	88
2	50	0.875646976927369	0.03814612652090674	0.08412313801515961	0.002083758536564525	87
2	51	0.908944231401145	0.005828495871582336	0.02287395041703688	0.06235332231023585	88
2	52	0.9024390243902439	0.006097560975609756	0.09146341463414634	0.0	82
2	53	NaN	NaN	NaN	NaN	88
2	54	NaN	NaN	NaN	NaN	88
2	55	0.8191545974099615	0.09463850603831425	0.025672988796934942	0.060533907754789194	87
2	56	0.8191545981768229	0.094638505271453	0.02567298803007368	0.060533908521650456	87
2	57	0.9089442313480344	0.0058284959246929415	0.022873950470147487	0.06235332225712524	88
2	58	0.8160630911310698	0.09870963614165741	0.019164181596202864	0.06606309113106987	88
2	59	0.6827460767130247	0.23202665055970256	0.021799377832429846	0.06342789489484288	88
2	60	0.9137930982844403	5.163835555834211E-9	0.06321839596843326	0.02298850058329088	87
2	61	0.682746078338799	0.2320266489339283	0.021799376206655553	0.06342789652061719	88
2	62	0.9046850904213165	0.006707314641974721	0.05101111211032915	0.03759648282637971	79
2	63	NaN	NaN	NaN	NaN	87
2	64	0.9077371791830292	0.0060559242652466205	0.04628580932271789	0.03992108722900625	87
2	65	0.9077371792032239	0.006055924245051839	0.0462858093025231	0.03992108724920103	87
2	66	0.9087896692855146	0.005983057987212631	0.0457557852599399	0.03947148746733282	88
2	67	0.9087896694261075	0.005983057846619752	0.04575578511934702	0.0394714876079257	88
2	68	0.7896547611166601	0.12511796615606718	0.07398160251970354	0.011245670207569187	88
2	69	NaN	NaN	NaN	NaN	88
2	70	0.8153638140875945	0.0994089131851328	0.025545276821496436	0.05968199590577628	88
2	71	0.6827460800517371	0.23202664722099023	0.021799374493717508	0.06342789823355521	88
2	72	NaN	NaN	NaN	NaN	88
2	73	NaN	NaN	NaN	NaN	88
2	74	NaN	NaN	NaN	NaN	88
2	75	0.8004124312015909	0.111352274680762	0.07605815703370317	0.012177137083943893	85
2	76	0.6827460767700659	0.23202665050266133	0.02179937777538861	0.06342789495188411	88
2	77	NaN	NaN	NaN	NaN	88
2	78	0.8184933414996958	0.0962793857730316	0.0678702948639407	0.017356977863332033	88
2	79	0.9087896696036114	0.005983057669115882	0.04575578494184315	0.039471487785429575	88
2	80	0.6851235581601188	0.23441667172493866	0.0217729935640191	0.05868677655092343	87
2	81	NaN	NaN	NaN	NaN	88
2	82	NaN	NaN	NaN	NaN	88
2	83	NaN	NaN	NaN	NaN	87
2	84	NaN	NaN	NaN	NaN	86
2	85	0.9087896694738083	0.005983057798918951	0.04575578507164623	0.039471487655626504	88
2	86	NaN	NaN	NaN	NaN	88
2	87	0.5681814538619299	0.34659127341079743	3.6431988831991946E-7	0.08522690840738441	88
2	88	NaN	NaN	NaN	NaN	88
2	89	NaN	NaN	NaN	NaN	88
2	90	0.8184933438942429	0.09627938337848439	0.0678702924693935	0.017356980257879233	88
2	91	NaN	NaN	NaN	NaN	88
2	92	NaN	NaN	NaN	NaN	87
2	93	NaN	NaN	NaN	NaN	88
2	94	0.9077371791705053	0.006055924277770558	0.046285809335241825	0.03992108721648231	87
2	95	0.908789669486668	0.005983057786059234	0.045755785058786504	0.039471487668486224	88
2	96	0.789655059090628	0.12511766818209916	0.07398130454573551	0.011245968181537213	88
2	97	NaN	NaN	NaN	NaN	88
2	98	0.9087896696070851	0.005983057665642096	0.04575578493836936	0.03947148778890336	88
2	99	0.9077371790363062	0.00605592441196969	0.04628580946944095	0.03992108708228319	87
2	100	0.90878966943114	0.005983057841587203	0.04575578511431447	0.03947148761295825	88
2	101	0.9047348578984211	0.006657547164869998	0.0446322307091738	0.04397536422753506	79
2	102	0.9077371791824066	0.006055924265869311	0.046285809323340574	0.03992108722838356	87
2	103	0.9087896695508051	0.005983057721922106	0.045755784994649384	0.03947148773262335	88
2	104	0.9163380037905849	0.006281043828462757	0.04794771049512942	0.02943324188582296	84
2	105	0.8184933412250932	0.0962793860476341	0.0678702951385432	0.017356977588729533	88
2	106	0.9088290842197609	0.005943643052966261	0.04003455214387535	0.04519272058339738	88
2	107	NaN	NaN	NaN	NaN	88
2	108	NaN	NaN	NaN	NaN	88
2	109	0.8163313409846715	0.09746176246360441	0.06872613027969639	0.017480766272027756	87
2	110	0.9087896691469003	0.005983058125826899	0.045755785398554176	0.03947148732871855	88
2	111	0.7964396915442382	0.10981030845576183	0.028560308455761824	0.06518969154423818	80
2	112	0.6827460790391866	0.23202664823354066	0.021799375506267947	0.06342789722100478	88
2	113	0.9077371791567318	0.00605592429154411	0.04628580934901537	0.03992108720270877	87
2	114	NaN	NaN	NaN	NaN	88
2	115	NaN	NaN	NaN	NaN	88
2	116	0.9087896694321652	0.005983057840562106	0.04575578511328938	0.03947148761398334	88
2	117	NaN	NaN	NaN	NaN	88
2	118	NaN	NaN	NaN	NaN	87
2	119	NaN	NaN	NaN	NaN	88
2	120	NaN	NaN	NaN	NaN	88
2	121	NaN	NaN	NaN	NaN	88
2	122	0.788352053290012	0.12642067398271528	0.06960249216453344	0.015624780562739282	88
2	123	NaN	NaN	NaN	NaN	88
2	124	0.7896550621576058	0.1251176651151214	0.07398130147875777	0.011245971248514959	88
2	125	NaN	NaN	NaN	NaN	78
2	126	NaN	NaN	NaN	NaN	87
2	127	0.7896547613065086	0.12511796596621863	0.073981602329855	0.011245670397417725	88
2	128	0.78807912612663	0.1266936011460973	0.08123905569155183	0.003988217035720893	88
2	129	NaN	NaN	NaN	NaN	88
2	130	NaN	NaN	NaN	NaN	86
2	131	0.6902366529916142	0.22453607428111313	0.06544516519020403	0.019782107537068702	88
2	132	NaN	NaN	NaN	NaN	87
2	133	0.6866496222789004	0.2271434811693754	0.06622394093949036	0.019982955612233774	87
2	134	0.7896550580538206	0.12511766921890666	0.07398130558254302	0.011245967144729712	88
2	135	NaN	NaN	NaN	NaN	88
2	136	0.6902366297997644	0.22453609747296285	0.06544518838205376	0.019782084345218953	88
2	137	NaN	NaN	NaN	NaN	82
2	138	0.6929411257807613	0.221831601491966	0.0741043287646933	0.011122943962579424	88
2	139	0.7906819281223058	0.12210876955211289	0.07559714164513615	0.01161216068044525	86
2	140	0.6902366530656231	0.2245360742071042	0.06544516511619511	0.01978210761107762	88
2	141	0.695271177900154	0.2185219255481218	0.07484376462858158	0.011363131923142556	87
2	142	NaN	NaN	NaN	NaN	87
2	143	NaN	NaN	NaN	NaN	88
2	144	0.6888477945783578	0.22394290309606085	0.06696615891001433	0.020243143415567072	86
2	145	0.6902366530740245	0.2245360741987028	0.06544516510779373	0.019782107619478996	88
2	146	0.6630387835186007	0.23696121648139937	0.07696121648139934	0.02303878351860066	75
2	147	NaN	NaN	NaN	NaN	85
2	148	0.6929411207501833	0.22183160652254388	0.07410433379527116	0.01112293893200156	88
2	149	0.6970392084666402	0.21472549741571265	0.06766667388630086	0.0205686202313462	85
2	150	0.7812114195490942	0.13258168389918157	0.07511041953136546	0.011096477020358677	87
2	151	NaN	NaN	NaN	NaN	86
2	152	0.6816993967140573	0.23307333055866988	0.05125514874048807	0.03397212398678466	88
2	153	0.6902366291540522	0.2245360981186752	0.06544518902776608	0.019782083699506646	88
2	154	NaN	NaN	NaN	NaN	81
2	155	0.6902366534184954	0.22453607385423188	0.0654451647633228	0.019782107963949924	88
2	156	NaN	NaN	NaN	NaN	87
2	157	0.74375	0.16875	0.06875	0.01875	80
2	158	0.8181825536101077	0.09659017366261953	0.08522653729898316	7.354282895672122E-7	88
2	159	0.9147727199853872	7.2873400659827096E-9	0.07386364365097643	0.011363629076296297	88
2	160	0.7955593440649078	0.1192133832078195	0.07375883775327406	0.01146843497399867	88
2	161	0.6902366532517327	0.22453607402099465	0.06544516493008555	0.01978210779718717	88
2	162	0.7896547593812511	0.1251179678914762	0.07398160425511255	0.01124566847216018	88
2	163	NaN	NaN	NaN	NaN	88
2	164	NaN	NaN	NaN	NaN	88
2	165	0.6902366298136777	0.2245360974590495	0.0654451883681404	0.01978208435913233	88
2	166	NaN	NaN	NaN	NaN	87
2	167	0.6924510346283425	0.2213420688199334	0.06616965502682995	0.02003724152489419	87
2	168	NaN	NaN	NaN	NaN	88
2	169	NaN	NaN	NaN	NaN	88
2	170	NaN	NaN	NaN	NaN	85
2	171	0.6902366530586043	0.22453607421412308	0.06544516512321398	0.019782107604058755	88
2	172	0.6902366530851541	0.22453607418757313	0.06544516509666404	0.019782107630608694	88
2	173	0.6924510090778244	0.22134209437045144	0.06616968057734798	0.020037215974376157	87
2	174	0.6902366530458995	0.22453607422682778	0.06544516513591869	0.019782107591354032	88
2	175	0.690236629579604	0.22453609769312333	0.06544518860221421	0.01978208412505852	88
2	176	NaN	NaN	NaN	NaN	88
2	177	0.6902366297139606	0.22453609755876666	0.06544518846785757	0.019782084259415147	88
2	178	0.8023102123730087	0.11246251489971862	0.07268978762699134	0.012537485100281387	88
2	179	NaN	NaN	NaN	NaN	87
2	180	0.6902366530803948	0.2245360741923325	0.06544516510142341	0.019782107625849314	88
2	181	NaN	NaN	NaN	NaN	88
2	182	NaN	NaN	NaN	NaN	88
2	183	0.6852662010092158	0.2323808578143137	0.06179262252019605	0.020560318656274536	85
2	184	0.6902366298538161	0.22453609741891115	0.06544518832800207	0.019782084399270664	88
2	185	0.6902366288655545	0.22453609840717279	0.0654451893162637	0.019782083411009035	88
2	186	0.7896550574566185	0.12511766981610878	0.07398130617974515	0.011245966547527575	88
2	187	NaN	NaN	NaN	NaN	88
2	188	NaN	NaN	NaN	NaN	88
